B01003_001E,state,county,tract,GEOID
1565.0,36,081,011900,36081011900
1607.0,36,081,013500,36081013500
1981.0,36,081,013600,36081013600
1822.0,36,081,014100,36081014100
2267.0,36,081,014500,36081014500
2482.0,36,081,016100,36081016100
3558.0,36,081,016300,36081016300
1457.0,36,081,018000,36081018000
1974.0,36,081,020600,36081020600
4380.0,36,081,006900,36081006900
5823.0,36,081,023200,36081023200
2889.0,36,081,012601,36081012601
2456.0,36,081,013200,36081013200
4252.0,36,081,007500,36081007500
1153.0,36,081,026200,36081026200
4338.0,36,081,059300,36081059300
1693.0,36,081,059800,36081059800
1188.0,36,081,060000,36081060000
2376.0,36,081,061601,36081061601
1439.0,36,081,062000,36081062000
2807.0,36,081,062500,36081062500
2609.0,36,081,063500,36081063500
5816.0,36,081,065600,36081065600
3724.0,36,081,066000,36081066000
3991.0,36,081,068300,36081068300
0.0,36,081,071600,36081071600
2552.0,36,047,007000,36047007000
4862.0,36,047,010600,36047010600
4303.0,36,047,010800,36047010800
1948.0,36,047,012100,36047012100
2114.0,36,047,012902,36047012902
3494.0,36,047,013700,36047013700
3631.0,36,047,014300,36047014300
4185.0,36,047,015100,36047015100
0.0,36,047,015400,36047015400
4079.0,36,047,015700,36047015700
5859.0,36,047,016500,36047016500
3058.0,36,047,017800,36047017800
4540.0,36,047,017900,36047017900
2826.0,36,047,019100,36047019100
3480.0,36,047,036200,36047036200
5165.0,36,047,036600,36047036600
3048.0,36,047,112000,36047112000
4000.0,36,047,113000,36047113000
1956.0,36,047,113200,36047113200
1719.0,36,043,010502,36043010502
3062.0,36,043,011002,36043011002
3381.0,36,043,011302,36043011302
6303.0,36,043,010100,36043010100
3461.0,36,043,010900,36043010900
2551.0,36,043,010501,36043010501
5156.0,36,043,010300,36043010300
3380.0,36,043,010400,36043010400
4564.0,36,043,011400,36043011400
3373.0,36,043,010201,36043010201
2406.0,36,043,011001,36043011001
1666.0,36,043,011301,36043011301
6191.0,36,043,011200,36043011200
2009.0,36,043,011100,36043011100
4440.0,36,069,050301,36069050301
4262.0,36,069,051300,36069051300
3248.0,36,069,051500,36069051500
5029.0,36,069,052000,36069052000
5991.0,36,069,050202,36069050202
3129.0,36,069,050800,36069050800
2266.0,36,069,051100,36069051100
3736.0,36,069,051200,36069051200
2447.0,36,069,052200,36069052200
2996.0,36,081,062900,36081062900
1299.0,36,081,059900,36081059900
