B01003_001E,state,county,tract,GEOID
4278.0,09,003,430100,09003430100
4460.0,09,003,430203,09003430203
3555.0,09,003,430301,09003430301
3556.0,09,003,420700,09003420700
2925.0,09,003,430302,09003430302
3775.0,09,003,511300,09003511300
4403.0,09,003,520202,09003520202
2690.0,09,003,501200,09003501200
5878.0,09,003,502400,09003502400
3636.0,09,003,520201,09003520201
3852.0,09,003,460302,09003460302
7293.0,09,003,400300,09003400300
4467.0,09,003,406002,09003406002
6758.0,09,003,416700,09003416700
5312.0,09,003,464101,09003464101
4520.0,09,003,466101,09003466101
5394.0,09,003,471400,09003471400
8736.0,09,003,477102,09003477102
2391.0,09,003,480900,09003480900
8353.0,09,003,490302,09003490302
3450.0,09,003,492500,09003492500
4607.0,09,003,494500,09003494500
2642.0,09,003,496600,09003496600
3209.0,09,003,496800,09003496800
3888.0,09,003,497500,09003497500
4147.0,09,003,500100,09003500100
1666.0,09,003,500400,09003500400
4390.0,09,003,504800,09003504800
3075.0,09,003,503800,09003503800
4513.0,09,003,510300,09003510300
4613.0,09,003,510600,09003510600
2512.0,09,003,511400,09003511400
5645.0,09,003,510400,09003510400
2937.0,09,003,503300,09003503300
2495.0,09,003,501400,09003501400
3860.0,09,003,502600,09003502600
5057.0,09,003,502700,09003502700
2592.0,09,003,503700,09003503700
3060.0,09,003,504300,09003504300
5936.0,09,003,400200,09003400200
3638.0,09,003,511200,09003511200
4600.0,09,003,503900,09003503900
3233.0,09,003,511100,09003511100
4106.0,09,003,514300,09003514300
4289.0,09,003,514700,09003514700
2676.0,09,003,515101,09003515101
7355.0,09,003,400100,09003400100
6229.0,09,003,405300,09003405300
4651.0,09,003,415600,09003415600
4988.0,09,003,416000,09003416000
2947.0,09,003,416200,09003416200
3694.0,09,003,416300,09003416300
4991.0,09,003,430601,09003430601
4488.0,09,003,471300,09003471300
3932.0,09,003,462102,09003462102
2831.0,09,003,466201,09003466201
5220.0,09,003,470100,09003470100
5150.0,09,003,484100,09003484100
5638.0,09,003,415400,09003415400
2943.0,09,003,415700,09003415700
5109.0,09,003,416500,09003416500
6773.0,09,003,473100,09003473100
2670.0,09,003,476200,09003476200
2304.0,09,003,480700,09003480700
3889.0,09,003,481100,09003481100
4151.0,09,003,481200,09003481200
1573.0,09,003,487300,09003487300
1673.0,09,003,417100,09003417100
3118.0,09,003,420400,09003420400
5178.0,09,003,462201,09003462201
3082.0,09,003,405100,09003405100
4334.0,09,003,406001,09003406001
1489.0,09,003,415900,09003415900
7002.0,09,003,430500,09003430500
4147.0,09,003,430602,09003430602
5027.0,09,003,464102,09003464102
4865.0,09,003,466300,09003466300
2483.0,09,003,466400,09003466400
3797.0,09,009,350100,09009350100
5866.0,09,009,347100,09009347100
2747.0,09,009,348111,09009348111
4449.0,09,009,351200,09009351200
2446.0,09,009,351900,09009351900
5085.0,09,009,352600,09009352600
5744.0,09,009,352702,09009352702
6086.0,09,009,352800,09009352800
5659.0,09,009,184700,09009184700
3565.0,09,009,351800,09009351800
4870.0,09,009,352000,09009352000
5378.0,09,013,533102,09013533102
3161.0,09,013,530500,09013530500
4233.0,09,013,538202,09013538202
2244.0,09,013,530100,09013530100
6566.0,09,013,535200,09013535200
5916.0,09,013,840100,09013840100
5412.0,09,013,530301,09013530301
9460.0,09,013,533101,09013533101
5442.0,09,013,860100,09013860100
3179.0,09,013,528100,09013528100
6171.0,09,013,530302,09013530302
5053.0,09,013,538201,09013538201
4828.0,09,013,881300,09013881300
4272.0,09,001,010101,09001010101
1636.0,09,001,011200,09001011200
5464.0,09,001,020600,09001020600
6076.0,09,001,021100,09001021100
6974.0,09,001,021700,09001021700
4566.0,09,001,022200,09001022200
2315.0,09,001,022400,09001022400
5706.0,09,001,030500,09001030500
2106.0,09,001,043700,09001043700
4893.0,09,001,042700,09001042700
3155.0,09,001,043000,09001043000
4746.0,09,001,043100,09001043100
4167.0,09,013,881100,09013881100
5394.0,09,013,850100,09013850100
9382.0,09,013,535100,09013535100
6259.0,09,001,043900,09001043900
2394.0,09,001,050400,09001050400
8048.0,09,001,060700,09001060700
2568.0,09,001,060900,09001060900
2798.0,09,001,071300,09001071300
2425.0,09,001,071600,09001071600
2779.0,09,001,072400,09001072400
1741.0,09,001,074000,09001074000
5016.0,09,013,526102,09013526102
4534.0,09,013,526101,09013526101
0.0,09,011,990100,09011990100
2881.0,09,011,980000,09011980000
5092.0,09,013,890202,09013890202
3722.0,09,013,890201,09013890201
4020.0,09,003,520302,09003520302
0.0,09,003,980000,09003980000
2329.0,09,003,524502,09003524502
2321.0,09,003,524501,09003524501
4305.0,09,003,520301,09003520301
6790.0,09,003,524300,09003524300
6181.0,09,003,524200,09003524200
3121.0,09,003,473502,09003473502
5155.0,09,003,476300,09003476300
3104.0,09,003,473601,09003473601
4049.0,09,003,460202,09003460202
5061.0,09,003,460301,09003460301
6456.0,09,003,462101,09003462101
4069.0,09,003,477101,09003477101
3772.0,09,003,480400,09003480400
6259.0,09,003,484200,09003484200
6940.0,09,003,487100,09003487100
2658.0,09,003,494202,09003494202
6689.0,09,003,496900,09003496900
2662.0,09,003,500200,09003500200
2383.0,09,003,500900,09003500900
3317.0,09,003,430201,09003430201
3151.0,09,003,471200,09003471200
4642.0,09,003,405900,09003405900
4617.0,09,003,466202,09003466202
3600.0,09,003,481000,09003481000
2600.0,09,003,473602,09003473602
2437.0,09,003,487400,09003487400
7127.0,09,003,468101,09003468101
4113.0,09,003,494300,09003494300
4475.0,09,003,520501,09003520501
2406.0,09,003,415300,09003415300
2358.0,09,003,480300,09003480300
3702.0,09,003,496300,09003496300
2813.0,09,003,496400,09003496400
2703.0,09,003,502800,09003502800
3682.0,09,003,511000,09003511000
4004.0,09,003,405200,09003405200
4214.0,09,003,471100,09003471100
4060.0,09,003,492200,09003492200
4071.0,09,003,497100,09003497100
5987.0,09,003,520100,09003520100
5391.0,09,015,907200,09015907200
4618.0,09,015,900100,09015900100
2422.0,09,015,903200,09015903200
5728.0,09,015,904500,09015904500
3823.0,09,015,800400,09015800400
4085.0,09,015,800600,09015800600
3408.0,09,015,800700,09015800700
4681.0,09,015,900200,09015900200
4184.0,09,015,902500,09015902500
6973.0,09,015,903100,09015903100
3748.0,09,015,908100,09015908100
4254.0,09,015,830100,09015830100
1639.0,09,015,902200,09015902200
6657.0,09,015,800500,09015800500
5074.0,09,015,906100,09015906100
6866.0,09,015,800300,09015800300
2365.0,09,015,815000,09015815000
1829.0,09,015,820000,09015820000
7827.0,09,015,901100,09015901100
7227.0,09,015,904100,09015904100
4205.0,09,015,904400,09015904400
8232.0,09,015,905100,09015905100
1691.0,09,015,825000,09015825000
4728.0,09,015,907100,09015907100
5019.0,09,015,907300,09015907300
3362.0,09,011,690800,09011690800
2289.0,09,011,702900,09011702900
5331.0,09,011,693300,09011693300
4693.0,09,011,700100,09011700100
3625.0,09,011,702400,09011702400
5255.0,09,011,707100,09011707100
3458.0,09,011,693500,09011693500
6323.0,09,011,690300,09011690300
5129.0,09,011,690900,09011690900
4238.0,09,011,693400,09011693400
4300.0,09,011,710100,09011710100
2730.0,09,011,696300,09011696300
6870.0,09,011,701200,09011701200
3532.0,09,011,705200,09011705200
2587.0,09,011,713100,09011713100
7242.0,09,011,870100,09011870100
4857.0,09,001,230502,09001230502
3539.0,09,003,524700,09003524700
3185.0,09,003,524400,09003524400
3186.0,09,003,524600,09003524600
4199.0,09,001,230501,09001230501
4510.0,09,001,210702,09001210702
5236.0,09,001,210701,09001210701
3754.0,09,001,257200,09001257200
6345.0,09,003,460204,09003460204
4087.0,09,003,405402,09003405402
3391.0,09,003,405401,09003405401
3766.0,09,011,870704,09011870704
1730.0,09,011,870703,09011870703
6431.0,09,011,870300,09011870300
5531.0,09,011,870200,09011870200
0.0,09,009,990000,09009990000
0.0,09,001,990000,09001990000
2135.0,09,011,870701,09011870701
3890.0,09,011,870502,09011870502
4345.0,09,011,870501,09011870501
4352.0,09,011,705102,09011705102
4964.0,09,011,714104,09011714104
7828.0,09,011,714103,09011714103
4276.0,09,011,705101,09011705101
5461.0,09,003,410101,09003410101
4137.0,09,003,410102,09003410102
3022.0,09,003,460203,09003460203
4697.0,09,003,487201,09003487201
3569.0,09,003,487202,09003487202
3569.0,09,003,514101,09003514101
7737.0,09,003,514102,09003514102
0.0,09,007,990100,09007990100
3070.0,09,003,510800,09003510800
4272.0,09,003,514400,09003514400
