B01003_001E,state,county,tract,GEOID
1861.0,26,093,741601,26093741601
3705.0,26,093,733602,26093733602
3454.0,26,093,741602,26093741602
3026.0,26,093,742201,26093742201
2340.0,26,093,742202,26093742202
1306.0,26,093,742401,26093742401
3864.0,26,093,742402,26093742402
0.0,26,095,980000,26095980000
0.0,26,095,990000,26095990000
0.0,26,097,990000,26097990000
7787.0,26,099,220001,26099220001
4578.0,26,099,220002,26099220002
5530.0,26,099,222101,26099222101
8877.0,26,099,222102,26099222102
6002.0,26,099,225701,26099225701
1762.0,26,099,225702,26099225702
7115.0,26,099,230601,26099230601
6373.0,26,099,230602,26099230602
2086.0,26,099,247601,26099247601
4.0,26,163,985400,26163985400
0.0,26,163,985500,26163985500
0.0,26,163,985600,26163985600
0.0,26,163,985700,26163985700
0.0,26,163,985900,26163985900
0.0,26,163,990100,26163990100
0.0,26,163,990200,26163990200
5080.0,26,165,380100,26165380100
4524.0,26,165,380200,26165380200
2708.0,26,165,380300,26165380300
4679.0,26,165,380400,26165380400
6627.0,26,165,380500,26165380500
3235.0,26,165,380600,26165380600
3138.0,26,165,380700,26165380700
3120.0,26,165,380800,26165380800
1655.0,26,125,160700,26125160700
3293.0,26,125,161100,26125161100
2293.0,26,125,161900,26125161900
2337.0,26,125,166700,26125166700
6001.0,26,125,168600,26125168600
2500.0,26,125,170000,26125170000
1836.0,26,125,173100,26125173100
5433.0,26,125,173400,26125173400
2948.0,26,125,180300,26125180300
6234.0,26,163,564600,26163564600
3782.0,26,163,567000,26163567000
2618.0,26,163,569200,26163569200
2517.0,26,163,569100,26163569100
4565.0,26,163,564800,26163564800
2668.0,26,159,010400,26159010400
3173.0,26,161,403400,26161403400
3058.0,26,161,403800,26161403800
2296.0,26,049,003400,26049003400
2398.0,26,049,010112,26049010112
2345.0,26,049,010113,26049010113
959.0,26,049,010115,26049010115
1614.0,26,049,010202,26049010202
4984.0,26,049,010700,26049010700
2507.0,26,049,010811,26049010811
3192.0,26,049,010812,26049010812
2458.0,26,049,011901,26049011901
5164.0,26,049,011301,26049011301
3467.0,26,049,011302,26049011302
4625.0,26,049,011503,26049011503
2432.0,26,049,012100,26049012100
2689.0,26,049,012503,26049012503
1442.0,26,049,000200,26049000200
2635.0,26,049,000900,26049000900
2530.0,26,049,010114,26049010114
3757.0,26,049,010502,26049010502
5597.0,26,049,011102,26049011102
6328.0,26,049,011209,26049011209
2801.0,26,049,011508,26049011508
2538.0,26,049,011711,26049011711
3291.0,26,049,012601,26049012601
2690.0,26,049,012603,26049012603
2962.0,26,049,012703,26049012703
2700.0,26,049,012906,26049012906
5339.0,26,049,010603,26049010603
6039.0,26,049,011212,26049011212
5336.0,26,049,011213,26049011213
3921.0,26,049,011402,26049011402
3541.0,26,049,011713,26049011713
3064.0,26,049,011714,26049011714
2935.0,26,049,011902,26049011902
1851.0,26,049,012401,26049012401
2684.0,26,049,012402,26049012402
4071.0,26,025,001100,26025001100
2985.0,26,025,003100,26025003100
3777.0,26,031,960400,26031960400
3527.0,26,031,960800,26031960800
2388.0,26,031,960600,26031960600
2792.0,26,031,960200,26031960200
4555.0,26,031,960300,26031960300
3123.0,26,031,960700,26031960700
2888.0,26,031,960100,26031960100
2408.0,26,031,960500,26031960500
1915.0,26,095,960200,26095960200
4449.0,26,095,960100,26095960100
6038.0,26,081,012604,26081012604
5174.0,26,081,012901,26081012901
5436.0,26,081,013300,26081013300
2367.0,26,081,013600,26081013600
11347.0,26,081,014501,26081014501
4067.0,26,081,014701,26081014701
3139.0,26,081,014704,26081014704
3220.0,26,081,014803,26081014803
8015.0,26,081,014804,26081014804
6846.0,26,081,011901,26081011901
7162.0,26,081,012003,26081012003
3483.0,26,081,013000,26081013000
5114.0,26,081,013500,26081013500
5230.0,26,081,000300,26081000300
3077.0,26,081,001300,26081001300
3905.0,26,081,004300,26081004300
1825.0,26,081,003000,26081003000
4842.0,26,081,003200,26081003200
6033.0,26,081,010302,26081010302
3899.0,26,081,010902,26081010902
4272.0,26,081,011002,26081011002
5296.0,26,081,011804,26081011804
4479.0,26,037,010902,26037010902
3857.0,26,037,011001,26037011001
2502.0,26,037,010702,26037010702
4648.0,26,037,011101,26037011101
3498.0,26,037,011002,26037011002
3802.0,26,037,010500,26037010500
2072.0,26,037,010701,26037010701
2902.0,26,037,010901,26037010901
2225.0,26,037,010201,26037010201
1639.0,26,043,950100,26043950100
3415.0,26,043,950700,26043950700
4581.0,26,043,950300,26043950300
4700.0,26,099,247602,26099247602
0.0,26,011,990100,26011990100
3371.0,26,015,010401,26015010401
5751.0,26,081,010700,26081010700
4741.0,26,081,011101,26081011101
7470.0,26,081,011801,26081011801
4953.0,26,081,012004,26081012004
3163.0,26,081,012605,26081012605
5550.0,26,081,012606,26081012606
5068.0,26,081,012902,26081012902
1491.0,26,081,013801,26081013801
10648.0,26,081,014602,26081014602
8374.0,26,081,014807,26081014807
3071.0,26,081,000700,26081000700
3255.0,26,081,000900,26081000900
4520.0,26,081,003700,26081003700
2577.0,26,081,010102,26081010102
12143.0,26,081,010600,26081010600
3972.0,26,017,285202,26017285202
8434.0,26,081,010801,26081010801
4216.0,26,015,010402,26015010402
5489.0,26,017,285201,26017285201
1924.0,26,017,286500,26017286500
4943.0,26,017,286600,26017286600
0.0,26,017,990000,26017990000
7291.0,26,019,000100,26019000100
3287.0,26,019,000200,26019000200
1798.0,26,019,000300,26019000300
1971.0,26,019,000400,26019000400
3205.0,26,019,000500,26019000500
0.0,26,019,990000,26019990000
0.0,26,021,990000,26021990000
5693.0,26,023,951300,26023951300
4165.0,26,023,951400,26023951400
2745.0,26,023,951500,26023951500
3395.0,26,023,951600,26023951600
2123.0,26,025,004100,26025004100
3497.0,26,027,001600,26027001600
5185.0,26,027,001700,26027001700
8199.0,26,027,001800,26027001800
5261.0,26,027,001900,26027001900
4299.0,26,027,002000,26027002000
5573.0,26,027,002100,26027002100
5883.0,26,027,002200,26027002200
1848.0,26,029,000100,26029000100
